"Database"	"Taxon Genus"	"Taxon"	"Block ID"	"Host Genus Grouping"
"refseq"	"Streptococcus"	"Streptococcus_sanguinis"	6	"Gorilla/Alouatta/Homo specific (modern/non-pan related ancient humans specific; stronger in modern day humans)"
"refseq"	"Actinomyces"	"Actinomyces_georgiae"	7	"Homo specific (Neanderthal specific; sporadic across remaining groups)"
"refseq"	"Actinomyces"	"Actinomyces_radicidentis"	7	"Homo specific (Neanderthal specific; sporadic across remaining groups)"
"refseq"	"Actinomyces"	"Actinomyces_slackii"	7	"Homo specific (Neanderthal specific; sporadic across remaining groups)"
"refseq"	"Actinomyces"	"Actinomyces_sp._HMSC075C01"	7	"Homo specific (Neanderthal specific; sporadic across remaining groups)"
"refseq"	"Actinomyces"	"Actinomyces_sp._HMSC08A09"	7	"Homo specific (Neanderthal specific; sporadic across remaining groups)"
"refseq"	"Actinomyces"	"Actinomyces_sp._oral_taxon_171"	7	"Homo specific (Neanderthal specific; sporadic across remaining groups)"
"refseq"	"Actinomyces"	"Actinomyces_sp._oral_taxon_849"	7	"Homo specific (Neanderthal specific; sporadic across remaining groups)"
"refseq"	"Actinomyces"	"Actinomyces_sp._oral_taxon_877"	7	"Homo specific (Neanderthal specific; sporadic across remaining groups)"
"refseq"	"Actinomyces"	"Actinomyces_timonensis"	7	"Homo specific (Neanderthal specific; sporadic across remaining groups)"
"refseq"	"Actinomyces"	"Actinomyces_urogenitalis"	7	"Homo specific (Neanderthal specific; sporadic across remaining groups)"
"refseq"	"Actinomyces"	"Actinomyces_viscosus"	7	"Homo specific (Neanderthal specific; sporadic across remaining groups)"
"refseq"	"Prevotella"	"Prevotella_loescheii"	8	"Homo specific (modern day and non-pan ancient human specific)"
"refseq"	"Prevotella"	"Prevotella_saccharolytica"	8	"Homo specific (modern day and non-pan ancient human specific)"
"refseq"	"Prevotella"	"Prevotella_sp._oral_taxon_472"	8	"Homo specific (modern day and non-pan ancient human specific)"
"refseq"	"Selenomonas"	"Selenomonas_noxia"	8	"Homo specific (modern day and non-pan ancient human specific)"
"refseq"	"Selenomonas"	"Selenomonas_sp._oral_taxon_892"	8	"Homo specific (modern day and non-pan ancient human specific)"
"refseq"	"Selenomonas"	"Selenomonas_sputigena"	8	"Homo specific (modern day and non-pan ancient human specific)"
"refseq"	"Campylobacter"	"Campylobacter_concisus"	9	"Homo specific (modern day human specific)"
"refseq"	"Capnocytophaga"	"Capnocytophaga_granulosa"	9	"Homo specific (modern day human specific)"
"refseq"	"Capnocytophaga"	"Capnocytophaga_leadbetteri"	9	"Homo specific (modern day human specific)"
"refseq"	"Capnocytophaga"	"Capnocytophaga_ochracea"	9	"Homo specific (modern day human specific)"
"refseq"	"Capnocytophaga"	"Capnocytophaga_sp._ChDC_OS43"	9	"Homo specific (modern day human specific)"
"refseq"	"Capnocytophaga"	"Capnocytophaga_sp._oral_taxon_326"	9	"Homo specific (modern day human specific)"
"refseq"	"Capnocytophaga"	"Capnocytophaga_sp._oral_taxon_329"	9	"Homo specific (modern day human specific)"
"refseq"	"Capnocytophaga"	"Capnocytophaga_sp._oral_taxon_332"	9	"Homo specific (modern day human specific)"
"refseq"	"Capnocytophaga"	"Capnocytophaga_sp._oral_taxon_338"	9	"Homo specific (modern day human specific)"
"refseq"	"Capnocytophaga"	"Capnocytophaga_sp._oral_taxon_863"	9	"Homo specific (modern day human specific)"
"refseq"	"Capnocytophaga"	"Capnocytophaga_sp._oral_taxon_878"	9	"Homo specific (modern day human specific)"
"refseq"	"Eikenella"	"Eikenella_sp._HMSC061C02"	9	"Homo specific (modern day human specific)"
"refseq"	"Kingella"	"Kingella_denitrificans"	9	"Homo specific (modern day human specific)"
"refseq"	"Leptotrichia"	"Leptotrichia_buccalis"	9	"Homo specific (modern day human specific)"
"refseq"	"Leptotrichia"	"Leptotrichia_sp._oral_taxon_215"	9	"Homo specific (modern day human specific)"
"refseq"	"Neisseria"	"Neisseria_sp._HMSC31F04"	9	"Homo specific (modern day human specific)"
"refseq"	"Porphyromonas"	"Porphyromonas_catoniae"	9	"Homo specific (modern day human specific)"
"refseq"	"Selenomonas"	"Selenomonas_artemidis"	9	"Homo specific (modern day human specific)"
"refseq"	"Selenomonas"	"Selenomonas_infelix"	9	"Homo specific (modern day human specific)"
"refseq"	"Selenomonas"	"Selenomonas_sp._oral_taxon_126"	9	"Homo specific (modern day human specific)"
"refseq"	"Selenomonas"	"Selenomonas_sp._oral_taxon_138"	9	"Homo specific (modern day human specific)"
"refseq"	"Selenomonas"	"Selenomonas_sp._oral_taxon_920"	9	"Homo specific (modern day human specific)"
"refseq"	"Morococcus"	"Morococcus_cerebrosus"	10	"Homo/Gorilla/Alouatta specific (modern day human specific; subset Gorillas)"
"refseq"	"Neisseria"	"Neisseria_gonorrhoeae"	10	"Homo/Gorilla/Alouatta specific (modern day human specific; subset Gorillas)"
"refseq"	"Neisseria"	"Neisseria_macacae"	10	"Homo/Gorilla/Alouatta specific (modern day human specific; subset Gorillas)"
"refseq"	"Neisseria"	"Neisseria_meningitidis"	10	"Homo/Gorilla/Alouatta specific (modern day human specific; subset Gorillas)"
"refseq"	"Neisseria"	"Neisseria_mucosa"	10	"Homo/Gorilla/Alouatta specific (modern day human specific; subset Gorillas)"
"refseq"	"Neisseria"	"Neisseria_sicca"	10	"Homo/Gorilla/Alouatta specific (modern day human specific; subset Gorillas)"
"refseq"	"Neisseria"	"Neisseria_sp._GT4A_CT1"	10	"Homo/Gorilla/Alouatta specific (modern day human specific; subset Gorillas)"
"refseq"	"Neisseria"	"Neisseria_sp._HMSC03D10"	10	"Homo/Gorilla/Alouatta specific (modern day human specific; subset Gorillas)"
"refseq"	"Neisseria"	"Neisseria_sp._HMSC055H02"	10	"Homo/Gorilla/Alouatta specific (modern day human specific; subset Gorillas)"
"refseq"	"Neisseria"	"Neisseria_sp._HMSC064E01"	10	"Homo/Gorilla/Alouatta specific (modern day human specific; subset Gorillas)"
"refseq"	"Neisseria"	"Neisseria_sp._HMSC065D04"	10	"Homo/Gorilla/Alouatta specific (modern day human specific; subset Gorillas)"
"refseq"	"Neisseria"	"Neisseria_sp._HMSC072F04"	10	"Homo/Gorilla/Alouatta specific (modern day human specific; subset Gorillas)"
"refseq"	"Neisseria"	"Neisseria_sp._HMSC074B07"	10	"Homo/Gorilla/Alouatta specific (modern day human specific; subset Gorillas)"
"refseq"	"Neisseria"	"Neisseria_sp._HMSC077D05"	10	"Homo/Gorilla/Alouatta specific (modern day human specific; subset Gorillas)"
"refseq"	"Neisseria"	"Neisseria_sp._HMSC15C08"	10	"Homo/Gorilla/Alouatta specific (modern day human specific; subset Gorillas)"
"refseq"	"Neisseria"	"Neisseria_sp._HMSC70E02"	10	"Homo/Gorilla/Alouatta specific (modern day human specific; subset Gorillas)"
"refseq"	"Aggregatibacter"	"Aggregatibacter_actinomycetemcomitans"	11	"Gorilla/Alouatta specific"
"refseq"	"Streptococcus"	"Streptococcus_mutans"	11	"Gorilla/Alouatta specific"
"refseq"	"Eggerthia"	"Eggerthia_catenaformis"	12	"Pan/Homo specific (pan-associated ancient humans)"
"refseq"	"Peptoanaerobacter"	"Peptoanaerobacter_stomatis"	12	"Pan/Homo specific (pan-associated ancient humans)"
"refseq"	"Peptoniphilus"	"Peptoniphilus_sp._oral_taxon_386"	12	"Pan/Homo specific (pan-associated ancient humans)"
"refseq"	"Peptostreptococcaceae"	"Peptostreptococcaceae_bacterium_pGA-8"	12	"Pan/Homo specific (pan-associated ancient humans)"
"refseq"	"Campylobacter"	"Campylobacter_curvus"	13	"Gorilla/Alouatta specific"
"refseq"	"Centipeda"	"Centipeda_periodontii"	13	"Gorilla/Alouatta specific"
"refseq"	"Kingella"	"Kingella_oralis"	13	"Gorilla/Alouatta specific"
"refseq"	"Leptotrichia"	"Leptotrichia_goodfellowii"	13	"Gorilla/Alouatta specific"
"refseq"	"Streptococcus"	"Streptococcus_anginosus"	13	"Gorilla/Alouatta specific"
"refseq"	"Streptococcus"	"Streptococcus_equi"	13	"Gorilla/Alouatta specific"
"refseq"	"Streptococcus"	"Streptococcus_intermedius"	13	"Gorilla/Alouatta specific"
"refseq"	"Streptococcus"	"Streptococcus_mitis"	13	"Gorilla/Alouatta specific"
"refseq"	"Streptococcus"	"Streptococcus_pseudopneumoniae"	13	"Gorilla/Alouatta specific"
"refseq"	"Actinomyces"	"Actinomyces_culturomici"	14	"Pan specific"
"refseq"	"Atopobium"	"Atopobium_rimae"	14	"Pan specific"
"refseq"	"Atopobium"	"Atopobium_sp._HMSC064B08"	14	"Pan specific"
"refseq"	"Atopobium"	"Atopobium_sp._oral_taxon_199"	14	"Pan specific"
"refseq"	"Bacteroides"	"Bacteroides_zoogleoformans"	14	"Pan specific"
"refseq"	"Candidatus"	"Candidatus_Methanomethylophilus_alvus"	14	"Pan specific"
"refseq"	"Coriobacteriaceae"	"Coriobacteriaceae_bacterium_68-1-3"	14	"Pan specific"
"refseq"	"Cryptobacterium"	"Cryptobacterium_curtum"	14	"Pan specific"
"refseq"	"Eggerthella"	"Eggerthella_lenta"	14	"Pan specific"
"refseq"	"Lawsonella"	"Lawsonella_clevelandensis"	14	"Pan specific"
"refseq"	"methanogenic"	"methanogenic_archaeon_ISO4-H5"	14	"Pan specific"
"refseq"	"Mogibacterium"	"Mogibacterium_diversum"	14	"Pan specific"
"refseq"	"Paraeggerthella"	"Paraeggerthella_hongkongensis"	14	"Pan specific"
"refseq"	"Solobacterium"	"Solobacterium_moorei"	14	"Pan specific"
"refseq"	"Thermoplasmatales"	"Thermoplasmatales_archaeon_BRNA1"	14	"Pan specific"
"refseq"	"Treponema"	"Treponema_putidum"	14	"Pan specific"
"refseq"	"Actinomyces"	"Actinomyces_bouchesdurhonensis"	15	"Homo specific (Neanderthal specific)"
"refseq"	"Actinomyces"	"Actinomyces_meyeri"	15	"Homo specific (Neanderthal specific)"
"refseq"	"Actinomyces"	"Actinomyces_sp._HMSC035G02"	15	"Homo specific (Neanderthal specific)"
"refseq"	"Actinomyces"	"Actinomyces_sp._HMSC062G12"	15	"Homo specific (Neanderthal specific)"
"refseq"	"Actinomyces"	"Actinomyces_sp._HPA0247"	15	"Homo specific (Neanderthal specific)"
"refseq"	"Actinomyces"	"Actinomyces_sp._oral_taxon_172"	15	"Homo specific (Neanderthal specific)"
"refseq"	"Actinomyces"	"Actinomyces_sp._oral_taxon_180"	15	"Homo specific (Neanderthal specific)"
"refseq"	"Brachymonas"	"Brachymonas_chironomi"	15	"Homo specific (Neanderthal specific)"
"refseq"	"Brachymonas"	"Brachymonas_denitrificans"	15	"Homo specific (Neanderthal specific)"
"refseq"	"Kytococcus"	"Kytococcus_sedentarius"	15	"Homo specific (Neanderthal specific)"
"refseq"	"Methanobrevibacter"	"Methanobrevibacter_millerae"	15	"Homo specific (Neanderthal specific)"
"refseq"	"Methanobrevibacter"	"Methanobrevibacter_olleyae"	15	"Homo specific (Neanderthal specific)"
"refseq"	"Methanobrevibacter"	"Methanobrevibacter_smithii"	15	"Homo specific (Neanderthal specific)"
"refseq"	"Methanobrevibacter"	"Methanobrevibacter_sp._YE315"	15	"Homo specific (Neanderthal specific)"
"refseq"	"Sanguibacter"	"Sanguibacter_keddieii"	15	"Homo specific (Neanderthal specific)"
"refseq"	"Veillonella"	"Veillonella_parvula"	15	"Homo specific (Neanderthal specific)"
"refseq"	"Xylanimonas"	"Xylanimonas_cellulosilytica"	15	"Homo specific (Neanderthal specific)"
"refseq"	"Propionibacterium"	"Propionibacterium_acidifaciens"	16	"Gorilla specific"
"refseq"	"Propionibacterium"	"Propionibacterium_australiense"	16	"Gorilla specific"
"refseq"	"Rothia"	"Rothia_sp._HMSC036D11"	16	"Gorilla specific"
"refseq"	"Rothia"	"Rothia_sp._HMSC058E10"	16	"Gorilla specific"
"refseq"	"Rothia"	"Rothia_sp._HMSC064D08"	16	"Gorilla specific"
"refseq"	"Rothia"	"Rothia_sp._HMSC065D02"	16	"Gorilla specific"
"refseq"	"Rothia"	"Rothia_sp._HMSC065G12"	16	"Gorilla specific"
"refseq"	"Rothia"	"Rothia_sp._HMSC067H10"	16	"Gorilla specific"
"refseq"	"Rothia"	"Rothia_sp._HMSC069C01"	16	"Gorilla specific"
"refseq"	"Rothia"	"Rothia_sp._HMSC071F11"	16	"Gorilla specific"
"refseq"	"Rothia"	"Rothia_sp._HMSC08A08"	16	"Gorilla specific"
"refseq"	"Alloprevotella"	"Alloprevotella_tannerae"	17	"Homo specific (Modern day human specific, but sporadic)"
"refseq"	"Bacteroides"	"Bacteroides_heparinolyticus"	17	"Homo specific (Modern day human specific, but sporadic)"
"refseq"	"Fusobacterium"	"Fusobacterium_sp._oral_taxon_203"	17	"Homo specific (Modern day human specific, but sporadic)"
"refseq"	"Granulicatella"	"Granulicatella_adiacens"	17	"Homo specific (Modern day human specific, but sporadic)"
"refseq"	"Granulicatella"	"Granulicatella_sp._572.rep1_STHE"	17	"Homo specific (Modern day human specific, but sporadic)"
"refseq"	"Granulicatella"	"Granulicatella_sp._HMSC30F09"	17	"Homo specific (Modern day human specific, but sporadic)"
"refseq"	"Leptotrichia"	"Leptotrichia_hofstadii"	17	"Homo specific (Modern day human specific, but sporadic)"
"refseq"	"Leptotrichia"	"Leptotrichia_sp._oral_taxon_225"	17	"Homo specific (Modern day human specific, but sporadic)"
"refseq"	"Neisseria"	"Neisseria_sp._HMSC055F11"	17	"Homo specific (Modern day human specific, but sporadic)"
"refseq"	"Neisseria"	"Neisseria_sp._HMSC059F02"	17	"Homo specific (Modern day human specific, but sporadic)"
"refseq"	"Neisseria"	"Neisseria_sp._HMSC064F04"	17	"Homo specific (Modern day human specific, but sporadic)"
"refseq"	"Porphyromonas"	"Porphyromonas_sp._KLE_1280"	17	"Homo specific (Modern day human specific, but sporadic)"
"refseq"	"Porphyromonas"	"Porphyromonas_sp._oral_taxon_278"	17	"Homo specific (Modern day human specific, but sporadic)"
"refseq"	"Prevotella"	"Prevotella_baroniae"	17	"Homo specific (Modern day human specific, but sporadic)"
"refseq"	"Prevotella"	"Prevotella_enoeca"	17	"Homo specific (Modern day human specific, but sporadic)"
"refseq"	"Prevotella"	"Prevotella_maculosa"	17	"Homo specific (Modern day human specific, but sporadic)"
"refseq"	"Prevotella"	"Prevotella_micans"	17	"Homo specific (Modern day human specific, but sporadic)"
"refseq"	"Prevotella"	"Prevotella_sp._HMSC073D09"	17	"Homo specific (Modern day human specific, but sporadic)"
"refseq"	"Prevotella"	"Prevotella_sp._KH2C16"	17	"Homo specific (Modern day human specific, but sporadic)"
"refseq"	"Prevotella"	"Prevotella_sp._oral_taxon_317"	17	"Homo specific (Modern day human specific, but sporadic)"
"refseq"	"Selenomonas"	"Selenomonas_sp._F0473"	17	"Homo specific (Modern day human specific, but sporadic)"
"refseq"	"Streptococcus"	"Streptococcus_sp._2_1_36FAA"	17	"Homo specific (Modern day human specific, but sporadic)"
"refseq"	"Streptococcus"	"Streptococcus_sp._HMSC062B01"	17	"Homo specific (Modern day human specific, but sporadic)"
"refseq"	"Streptococcus"	"Streptococcus_sp._NPS_308"	17	"Homo specific (Modern day human specific, but sporadic)"
"refseq"	"Treponema"	"Treponema_medium"	17	"Homo specific (Modern day human specific, but sporadic)"
"refseq"	"Treponema"	"Treponema_sp._OMZ_838"	17	"Homo specific (Modern day human specific, but sporadic)"
"refseq"	"Treponema"	"Treponema_vincentii"	17	"Homo specific (Modern day human specific, but sporadic)"
"refseq"	"Actinomyces"	"Actinomyces_provencensis"	18	"Pan specific (but sporadic)"
"refseq"	"Actinomyces"	"Actinomyces_turicensis"	18	"Pan specific (but sporadic)"
"refseq"	"Atopobium"	"Atopobium_parvulum"	18	"Pan specific (but sporadic)"
"refseq"	"Atopobium"	"Atopobium_sp._oral_taxon_810"	18	"Pan specific (but sporadic)"
"refseq"	"Bacteroides"	"Bacteroides_pyogenes"	18	"Pan specific (but sporadic)"
"refseq"	"Bidobacterium"	"Bidobacterium_dentium"	18	"Pan specific (but sporadic)"
"refseq"	"Denitrobacterium"	"Denitrobacterium_detoxificans"	18	"Pan specific (but sporadic)"
"refseq"	"Fusobacterium"	"Fusobacterium_necrophorum"	18	"Pan specific (but sporadic)"
"refseq"	"Gemella"	"Gemella_bergeri"	18	"Pan specific (but sporadic)"
"refseq"	"Gemella"	"Gemella_cuniculi"	18	"Pan specific (but sporadic)"
"refseq"	"Gordonibacter"	"Gordonibacter_massiliensis"	18	"Pan specific (but sporadic)"
"refseq"	"Jonquetella"	"Jonquetella_anthropi"	18	"Pan specific (but sporadic)"
"refseq"	"Lachnoanaerobaculum"	"Lachnoanaerobaculum_saburreum"	18	"Pan specific (but sporadic)"
"refseq"	"Olsenella"	"Olsenella_sp._HMSC062G07"	18	"Pan specific (but sporadic)"
"refseq"	"Olsenella"	"Olsenella_umbonata"	18	"Pan specific (but sporadic)"
"refseq"	"Olsenella"	"Olsenella_urininfantis"	18	"Pan specific (but sporadic)"
"refseq"	"Oxalobacter"	"Oxalobacter_formigenes"	18	"Pan specific (but sporadic)"
"refseq"	"Parvimonas"	"Parvimonas_sp._KA00067"	18	"Pan specific (but sporadic)"
"refseq"	"Porphyromonas"	"Porphyromonas_gulae"	18	"Pan specific (but sporadic)"
"refseq"	"Propionibacterium"	"Propionibacterium_freudenreichii"	18	"Pan specific (but sporadic)"
"refseq"	"Shuttleworthia"	"Shuttleworthia_satelles"	18	"Pan specific (but sporadic)"
"refseq"	"Slackia"	"Slackia_heliotrinireducens"	18	"Pan specific (but sporadic)"
"refseq"	"Streptococcus"	"Streptococcus_constellatus"	18	"Pan specific (but sporadic)"
"refseq"	"Tissierella"	"Tissierella_praeacuta"	18	"Pan specific (but sporadic)"
"refseq"	"Haemophilus"	"Haemophilus_massiliensis"	19	"Gorilla/Alouatta specific"
"refseq"	"Necropsobacter"	"Necropsobacter_massiliensis"	19	"Gorilla/Alouatta specific"
"refseq"	"Neisseria"	"Neisseria_shayeganii"	19	"Gorilla/Alouatta specific"
"refseq"	"Paenarthrobacter"	"Paenarthrobacter_nicotinovorans"	19	"Gorilla/Alouatta specific"
"refseq"	"Pasteurella"	"Pasteurella_multocida"	19	"Gorilla/Alouatta specific"
